1910	-0.34
1911	-0.56
1912	-0.19
1913	-0.07
1914	-0.01
1915	-0.06
1916	-0.42
1917	-0.48
1918	-0.64
1919	-0.12
1920	-0.4
1921	-0.46
1922	-0.18
1923	-0.39
1924	-0.09
1925	-0.28
1926	0.03
1927	-0.09
1928	-0.06
1929	-0.29
1930	-0.19
1931	0.28
1932	-0.13
1933	-0.03
1934	-0.11
1935	-0.19
1936	-0.11
1937	0.03
1938	-0.08
1939	-0.14
1940	0.11
1941	0.38
1942	0.2
1943	-0.27
1944	-0.02
1945	-0.12
1946	-0.06
1947	0.13
1948	-0.27
1949	-0.02
1950	-0.32
1951	-0.14
1952	-0.01
1953	-0.2
1954	-0.3
1955	-0.13
1956	-0.39
1957	-0.17
1958	0.2
1959	-0.08
1960	0.07
1961	-0.19
1962	-0.02
1963	0.05
1964	-0.27
1965	-0.26
1966	0.12
1967	-0.31
1968	-0.22
1969	0.33
1970	0.14
1971	-0.24
1972	-0.01
1973	0.27
1974	-0.3
1975	-0.25
1976	-0.26
1977	0.14
1978	0.09
1979	0.35
1980	0.33
1981	0.1
1982	0.06
1983	0.41
1984	0.22
1985	0.22
1986	0.19
1987	0.77
1988	0.41
1989	0.04
1990	0.56
1991	0.29
1992	0.12
1993	0.41
1994	0.28
1995	0.55
1996	0.5
1997	0.49
1998	0.93
1999	0.66
2000	0.46
2001	0.68
2002	0.84
2003	0.91
2004	0.82
2005	1.03
2006	0.79
2007	0.79
2008	0.7
2009	0.98
2010	1.44
2011	0.78
2012	0.82
2013	0.93
